CardId,Normal,Foil,Name,Set
"OGN-001",3,0,"Blazing Scorcher","Origins"
"OGN-002",2,0,"Brazen Buccaneer","Origins"
"OGN-003",3,0,"Chemtech Enforcer","Origins"
"OGN-004",4,0,"Cleave","Origins"
"OGN-005",2,0,"Disintegrate","Origins"
"OGN-006",3,0,"Flame Chompers","Origins"
"OGN-007",3,0,"Fury Rune","Origins"
"OGN-007a",1,0,"Fury Rune","Origins"
"OGN-008",2,0,"Get Excited!","Origins"
"OGN-009",2,0,"Hextech Ray","Origins"
"OGN-010",2,0,"Legion Rearguard","Origins"
"OGN-011",2,0,"Magma Wurm","Origins"
"OGN-012",3,0,"Noxus Hopeful","Origins"
"OGN-013",2,0,"Pouty Poro","Origins"
"OGN-014",3,0,"Sky Splitter","Origins"
"OGN-015",1,0,"Captain Farron","Origins"
"OGN-016",1,0,"Dangerous Duo","Origins"
"OGN-017",1,0,"Iron Ballista","Origins"
"OGN-018",1,0,"Noxus Saboteur","Origins"
"OGN-019",1,0,"Raging Soul","Origins"
"OGN-020",1,0,"Scrapyard Champion","Origins"
"OGN-022",1,0,"Thermo Beam","Origins"
"OGN-023",1,0,"Unlicensed Armory","Origins"
"OGN-024",1,0,"Void Seeker","Origins"
"OGN-025",1,0,"Blind Fury","Origins"
"OGN-027",1,0,"Darius - Trifarian","Origins"
"OGN-030",1,0,"Jinx - Demolitionist","Origins"
"OGN-031",1,0,"Raging Firebrand","Origins"
"OGN-033",1,0,"Shakedown","Origins"
"OGN-034",1,0,"Tryndamere - Barbarian","Origins"
"OGN-035",1,0,"Vayne - Hunter","Origins"
"OGN-036",1,0,"Vi - Destructive","Origins"
"OGN-040",1,0,"Seal of Rage","Origins"
"OGN-042",2,0,"Calm Rune","Origins"
"OGN-043",3,0,"Charm","Origins"
"OGN-044",2,0,"Clockwork Keeper","Origins"
"OGN-045",2,0,"Defy","Origins"
"OGN-046",3,0,"En Garde","Origins"
"OGN-047",2,0,"Find Your Center","Origins"
